# Berço    Linear [m]    H [mm]    u_H [mm]    V [mm]    u_V [mm]    L [mm]    u_L [mm]    Roll [mrad]    u_roll [mrad]    fH [mm]    dH [mm]    fV [mm]    dV [mm]
S10-B11     166.504      -0.574      0.022     0.050      0.030      0.260      0.025       -0.019             0.052       -0.555     -0.019     -0.081     -0.009
S10-B10     168.366      -0.645      0.022     0.017      0.030      0.289      0.023        0.162             0.052       -0.562     -0.083     -0.097      0.040
S10-B09     170.159      -0.667      0.030     0.053      0.025      0.212      0.025       -0.046             0.052       -0.569     -0.098     -0.110      0.017
S10-B08     171.912      -0.693      0.022     0.099      0.030      0.133      0.023       -0.081             0.052       -0.576     -0.117     -0.122     -0.017
S10-B07     173.943      -0.611      0.022     0.081      0.030      0.343      0.023        0.084             0.052       -0.585     -0.026     -0.133      0.012
S10-B06     175.974      -0.614      0.022     0.082      0.030      0.328      0.023        0.020             0.052       -0.595     -0.019     -0.142      0.020
S10-B05     177.728      -0.645      0.030     0.182      0.025      0.303      0.025       -0.114             0.052       -0.604     -0.041     -0.147     -0.075
S10-B04     179.520      -0.624      0.022     0.129      0.030      0.276      0.023       -0.007             0.052       -0.614     -0.010     -0.151     -0.018
S10-B03     181.382      -0.592      0.022     0.160      0.030      0.189      0.025        0.107             0.052       -0.626      0.034     -0.153     -0.047
S10-B02     183.207      -0.548      0.022     0.194      0.030      0.140      0.023        0.142             0.052       -0.638      0.090     -0.152     -0.082
S10-B01     190.591      -0.622      0.022     0.088      0.030      0.163      0.023       -0.027             0.052       -0.695      0.073     -0.127     -0.001
S09-B11     192.416      -0.645      0.022     0.098      0.030      0.199      0.025       -0.049             0.052       -0.712      0.067     -0.115     -0.023
S09-B10     194.278      -0.748      0.022     0.073      0.030      0.161      0.023        0.005             0.052       -0.729     -0.019     -0.101     -0.012
S09-B09     196.070      -0.791      0.030     0.013      0.025      0.090      0.025        0.112             0.052       -0.747     -0.044     -0.087      0.034
S09-B08     197.824      -0.799      0.022     0.026      0.030      0.115      0.023        0.017             0.052       -0.766     -0.033     -0.071      0.057
S09-B07     199.855      -0.725      0.022     0.027      0.030      0.020      0.023       -0.063             0.052       -0.788      0.063     -0.051     -0.016
S09-B06     201.886      -0.828      0.022     0.085      0.030      0.186      0.023       -0.093             0.052       -0.810     -0.018     -0.030      0.075
S09-B05     203.639      -0.792      0.030     0.059      0.025      0.243      0.025       -0.242             0.052       -0.830      0.038     -0.010      0.029
S09-B04     205.432      -0.824      0.022     0.078      0.030      0.173      0.023       -0.036             0.052       -0.851      0.027      0.010      0.028
S09-B03     207.294      -0.818      0.022     0.070      0.030      0.222      0.025        0.079             0.052       -0.873      0.055      0.032     -0.002
S09-B02     208.911      -0.803      0.022     0.060      0.030      0.087      0.023        0.007             0.052       -0.892      0.089      0.052     -0.032
S09-B01     216.711      -1.052      0.022     0.128      0.030      0.067      0.023        0.005             0.052       -0.980     -0.072      0.143     -0.055
S08-B11     218.328      -1.169      0.022     0.148      0.030      0.050      0.025        0.060             0.052       -0.997     -0.172      0.160     -0.052
S08-B10     220.190      -0.978      0.022     0.225      0.030      0.091      0.023       -0.001             0.052       -1.015      0.037      0.180      0.005
S08-B09     221.982      -1.033      0.030     0.294      0.025      0.132      0.025        0.162             0.052       -1.032     -0.001      0.197      0.057
S08-B08     223.736      -1.098      0.022     0.278      0.030      0.150      0.023        0.011             0.052       -1.047     -0.051      0.212      0.026
S08-B07     225.767      -1.087      0.022     0.258      0.030      0.006      0.023        0.172             0.052       -1.062     -0.025      0.228     -0.010
S08-B06     227.798      -1.079      0.022     0.301      0.030      0.077      0.023       -0.014             0.052       -1.075     -0.004      0.242      0.019
S08-B05     229.552      -1.079      0.030     0.326      0.025      0.116      0.025       -0.009             0.052       -1.085      0.006      0.252      0.034
S08-B04     231.344      -1.044      0.022     0.399      0.030      0.130      0.023       -0.118             0.052       -1.093      0.049      0.260      0.099
S08-B03     233.206      -1.100      0.022     0.279      0.030     -0.118      0.025       -0.168             0.052       -1.099     -0.001      0.266     -0.027
S08-B02     235.031      -1.082      0.022     0.283      0.030     -0.157      0.023       -0.191             0.052       -1.103      0.021      0.269     -0.026
S08-B01     242.416      -1.065      0.022     0.169      0.030     -0.110      0.023        0.093             0.052       -1.096      0.031      0.257     -0.128
S07-B11     244.240      -1.130      0.022     0.257      0.030      0.145      0.025        0.078             0.052       -1.089     -0.041      0.248     -0.031
S07-B10     246.102      -1.136      0.022     0.096      0.030     -0.256      0.023       -0.055             0.052       -1.079     -0.057      0.235     -0.179
S07-B09     247.894      -1.142      0.030     0.278      0.025     -0.218      0.025        0.182             0.052       -1.067     -0.075      0.221      0.017
S07-B08     249.648      -1.046      0.022     0.186      0.030     -0.293      0.023        0.095             0.052       -1.054      0.008      0.205     -0.059
S07-B07     251.679      -0.943      0.022     0.177      0.030     -0.173      0.023        0.031             0.052       -1.037      0.094      0.183     -0.046
S07-B06     253.710      -1.015      0.022     0.293      0.030     -0.080      0.023        0.163             0.052       -1.017      0.002      0.159      0.094
S07-B05     255.464      -0.976      0.030     0.257      0.025     -0.172      0.025       -0.007             0.052       -0.999      0.023      0.135      0.082
S07-B04     257.256      -0.977      0.022     0.258      0.030     -0.291      0.023        0.102             0.052       -0.979      0.002      0.110      0.108
S07-B03     259.118      -0.871      0.022     0.244      0.030     -0.199      0.025       -0.083             0.052       -0.957      0.086      0.082      0.122
S07-B02     260.942      -0.954      0.022     0.103      0.030     -0.243      0.023        0.145             0.052       -0.935     -0.019      0.053      0.010
S07-B01     268.327      -0.894      0.022     0.034      0.030      0.133      0.023       -0.097             0.052       -0.844     -0.050     -0.072     -0.002
S06-B11     270.151      -0.889      0.022     0.070      0.030      0.069      0.025        0.011             0.052       -0.823     -0.066     -0.104     -0.006
S06-B10     272.013      -0.765      0.022     0.091      0.030     -0.083      0.023       -0.083             0.052       -0.802      0.037     -0.136      0.005
S06-B09     273.806      -0.806      0.030     0.120      0.025     -0.130      0.025       -0.226             0.052       -0.783     -0.023     -0.166      0.006
S06-B08     275.559      -0.744      0.022     0.140      0.030     -0.170      0.023       -0.079             0.052       -0.766      0.022     -0.195      0.015
S06-B07     277.590      -0.713      0.022     0.275      0.030     -0.166      0.023       -0.108             0.052       -0.748      0.035     -0.227     -0.088
S06-B06     279.621      -0.714      0.022     0.217      0.030     -0.122      0.023       -0.075             0.052       -0.732      0.018     -0.257      0.000
S06-B05     281.375      -0.660      0.030     0.253      0.025     -0.124      0.025       -0.168             0.052       -0.722      0.062     -0.281     -0.012
S06-B04     283.168      -0.701      0.022     0.280      0.030     -0.705      0.023       -0.023             0.052       -0.713      0.012     -0.303     -0.017
S06-B03     285.029      -0.646      0.022     0.274      0.030     -0.070      0.025       -0.381             0.052       -0.707      0.061     -0.324      0.010
S06-B02     286.854      -0.712      0.022     0.321      0.030     -0.609      0.023       -0.237             0.052       -0.703     -0.009     -0.343     -0.018
S06-B01     294.239      -0.768      0.022     0.362      0.030     -0.160      0.023       -0.057             0.052       -0.722     -0.046     -0.388     -0.014
S05-B11     296.064      -0.734      0.022     0.390      0.030     -0.619      0.025       -0.097             0.052       -0.735      0.001     -0.391     -0.039
S05-B10     297.925      -0.745      0.022     0.430      0.030     -0.268      0.023       -0.097             0.052       -0.751      0.006     -0.392     -0.078
S05-B09     299.717      -0.832      0.030     0.254      0.025     -0.213      0.025       -0.076             0.052       -0.770     -0.062     -0.390      0.096
S05-B08     301.471      -0.882      0.022     0.381      0.030     -0.030      0.023        0.054             0.052       -0.791     -0.091     -0.385     -0.036
S05-B07     303.502      -0.862      0.022     0.359      0.030      0.044      0.023       -0.030             0.052       -0.819     -0.043     -0.377     -0.022
S05-B06     305.533      -0.833      0.022     0.338      0.030     -0.295      0.023        0.096             0.052       -0.850      0.017     -0.365     -0.013
S05-B05     307.287      -0.876      0.030     0.274      0.025     -0.302      0.025        0.002             0.052       -0.879      0.003     -0.353      0.039
S05-B04     309.079      -0.943      0.022     0.293      0.030     -0.301      0.023       -0.011             0.052       -0.911     -0.032     -0.338      0.005
S05-B03     310.941      -0.958      0.022     0.221      0.030     -0.092      0.025       -0.044             0.052       -0.946     -0.012     -0.321      0.060
S05-B02     312.558      -0.983      0.022     0.202      0.030     -0.186      0.023        0.021             0.052       -0.978     -0.005     -0.304      0.062
S05-B01     320.358      -1.192      0.022     0.143      0.030      0.143      0.023        0.076             0.052       -1.141     -0.051     -0.213      0.030
S04-B11     321.975      -1.189      0.022     0.201      0.030      0.102      0.025        0.109             0.052       -1.175     -0.014     -0.193     -0.048
S04-B10     323.837      -1.182      0.022     0.215      0.030      0.037      0.023        0.232             0.052       -1.214      0.032     -0.170     -0.085
S04-B09     325.629      -1.205      0.030     0.069      0.025     -0.029      0.025        0.118             0.052       -1.250      0.045     -0.148      0.039
S04-B08     327.383      -1.233      0.022     0.106      0.030     -0.174      0.023       -0.070             0.052       -1.284      0.051     -0.127     -0.019
S04-B07     329.415      -1.288      0.022     0.064      0.030     -0.702      0.023       -0.095             0.052       -1.321      0.033     -0.104      0.000
S04-B06     331.445      -1.311      0.022     0.047      0.030      0.176      0.023        0.238             0.052       -1.355      0.044     -0.082     -0.005
S04-B05     333.199      -1.338      0.030     0.027      0.025      0.007      0.025        0.247             0.052       -1.383      0.045     -0.064      0.051
S04-B04     334.991      -1.349      0.022     0.015      0.030     -0.029      0.023       -0.147             0.052       -1.408      0.059     -0.048      0.023
S04-B03     336.853      -1.532      0.022     0.061      0.030      0.027      0.025       -0.027             0.052       -1.430     -0.102     -0.032      0.053
